dataset,model,trial,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,train_log_loss,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc,test_log_loss
cardio,perceptron,4,0.5338,0.8146417445482866,0.6764472640761301,0.4245359160613398,0.6892417368762151,0.5299039157592363,16.454390135599226,0.5231384615384616,0.8066573880770123,0.6864466833040639,0.4119165411916541,0.6870961741179389,0.5237387118512457,16.34493082476572
cardio,perceptron,5,0.5024,0.8421052631578947,0.0,0.9662243667068757,0.6398169336384439,0.49981767506993385,17.35918901608211,0.4996769230769231,0.8238957277335265,0.0,0.9626237167271162,0.6557469941387919,0.5001969583220675,17.251321760571848
cardio,perceptron,6,0.7098,0.7475247524752475,0.9771521827825378,0.7999215378579835,0.6754641019906062,0.7079983046287063,18.243542410875293,0.7141846153846154,0.7616279069767442,0.9816158386620758,0.8042929292929293,0.6861188078664594,0.7142621803375616,17.96616362492263
cardio,perceptron,7,0.5706,0.768566493955095,0.7302158273381295,0.9463570856685348,0.3010204081632653,0.5708338053336354,17.283203708013307,0.5844153846153847,0.7651930012020837,0.7122886966160668,0.9459459459459459,0.30888578910016395,0.5842130921171368,17.257166784269447
cardio,perceptron,avg,0.6045142857142858,0.7970785483513777,0.6172876202613783,0.7919346276779893,0.5237455964287474,0.6021998276354036,17.378965142614522,0.6037252747252747,0.7959072239801033,0.6158992058023379,0.7871402587317702,0.5278503201903045,0.6039714577032148,17.222211691337385
cardio,knn,1,0.6884,0.7089350180505415,0.6658615136876006,0.7488076311605724,0.6685106382978724,0.6880441822897065,0.09670937350318111,0.6624461538461538,0.682355380468588,0.6084320664717648,0.7497923396400554,0.6428466784952712,0.6624377269216031,14.255106664947004
cardio,knn,2,0.6762,0.6969054684188215,0.6452119309262166,0.7084013050570962,0.6700631750560424,0.6768066179916565,0.09671001318112525,0.6643846153846154,0.6749736286919831,0.6313712188955012,0.6965826399336793,0.6524447560023579,0.6643146738955383,14.252454449055648
cardio,knn,3,0.6906,0.6986363636363636,0.6792601338055884,0.7303782025213501,0.6805698946933718,0.6913008922879899,0.11743327901807167,0.6622615384615385,0.6850643747195472,0.629046180405697,0.7197960813217862,0.6502572926125954,0.6621984705239486,14.28433909052537
cardio,knn,4,0.6724,0.7029384756657484,0.6835844567803331,0.7380952380952381,0.6890721649484536,0.6729801155801506,0.1450647798924583,0.6616615384615384,0.6791767969044277,0.62051329451274,0.7181575146728943,0.6416887885676136,0.6615947108057944,14.293903379521831
cardio,knn,5,0.6836,0.7047954245490541,0.6685236768802229,0.7386409328508243,0.6690406367825723,0.6838410510620206,0.12434071445808172,0.6635076923076924,0.6778949489521763,0.630012936610608,0.7142374131677629,0.6467738312959219,0.6634640293154253,14.255111966893041
cardio,knn,6,0.6682,0.6874371859296482,0.6585067319461444,0.7559827383287564,0.6314152410575428,0.6664999626256423,0.13124798997860573,0.6605846153846154,0.7000688178620584,0.5934272011805214,0.7584072431633407,0.6281601833749074,0.6606602319125414,14.273706103720542
cardio,knn,7,0.6796,0.7001870907390084,0.6398880895283773,0.7433947157726181,0.6624525916561315,0.679641074970288,0.07598610766623469,0.6651538461538462,0.6931437826165197,0.6161591279982757,0.737847062079144,0.6459881914737886,0.6651158658899816,14.257235191183
cardio,knn,avg,0.6798571428571428,0.6999764324270265,0.6629766476506405,0.7376715376837794,0.6673034774988551,0.6798734138296363,0.11249889395682265,0.6628571428571429,0.6846682471736144,0.6184231465821582,0.7278314705683805,0.644022817403208,0.6628265298949761,14.267408120835205
