DATASET,MODEL,TRIAL,TRAIN_ACC,TRAIN_PREC,TRAIN_REC,TRAIN_SPEC,TRAIN_F1,TRAIN_ROC,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC
CHESS,LOGREG,6,0.685,0.666026134,0.716739912,0.651982379,0.6836890240000001,0.684967146,0.666954443,0.657465008,0.7140570820000001,0.650396825,0.6825599179999999,0.667056259
CHESS,LOGREG,7,0.6736,0.67688172,0.7086012859999999,1.0,0.683598294,0.673767204,0.666290344,0.672467264,0.70810595,1.0,0.679221194,0.666379019
CHESS,LOGREG,avg,0.68,0.6809725059999999,0.60477228,0.76074614,0.685320191,0.6799338770000001,0.668187769,0.673383775,0.60736945,0.757216366,0.6814913709999999,0.6683148010000001
CHESS,PERC,1,0.6172,0.51646738,0.46060113700000005,1.0,0.657847694,0.6191488079999999,0.60665427,0.524087591,0.46000795899999997,1.0,0.651403684,0.6064848389999999
CHESS,PERC,2,0.6484,0.635718187,0.942948975,0.0,0.683758194,0.6489194429999999,0.626178775,0.6318926970000001,0.937965921,0.0,0.684409908,0.626437633
CHESS,PERC,3,0.5902,0.5704005010000001,0.763505402,0.3762495,0.6809421840000001,0.590255694,0.581750564,0.561655059,0.731404959,0.37705135,0.651469279,0.582283898
CHESS,PERC,4,0.596,0.618485059,0.775411812,0.5627240139999999,0.656462585,0.596785954,0.574113428,0.5909039739999999,0.7623801920000001,0.518420355,0.6410701289999999,0.574537565
CHESS,PERC,5,0.6214,0.6002400960000001,0.455364135,0.455437449,0.71059471,0.615029828,0.598485855,0.564133616,0.439908688,0.43253186200000004,0.684841535,0.601541481
CHESS,PERC,6,0.6736,0.6744092909999999,0.0,0.661193432,0.654318789,0.67360097,0.6484260860000001,0.648557563,0.0,0.653306878,0.641522946,0.64839825
CHESS,PERC,7,0.6478,0.552375952,0.605707395,0.367834395,0.631204188,0.647598921,0.635343339,0.5404651970000001,0.595101824,0.368190855,0.619552415,0.635258003
