DATASET,MODEL,TRIAL,TRAIN_ACC,TRAIN_PREC,TRAIN_REC,TRAIN_SPEC,TRAIN_F1,TRAIN_ROC,TEST_ACC,TEST_PREC,TEST_REC,TEST_SPEC,TEST_F1,TEST_ROC
AUS,LOGREG,3,0.8518,0.8265682656826568,0.5046468401486989,1.0,0.5944170771756978,0.7258198522863779,0.8414068062081731,0.8201931304241535,0.4936203370020454,0.9999908808214556,0.5771771315769494,0.7163566717520098
AUS,LOGREG,4,0.8512,0.8246073298429321,0.5341009743135519,1.0,0.6184615384615385,0.7388923884742651,0.843585362380749,0.7918072289156627,0.5005854039287108,0.9999908852267756,0.5835386890093642,0.7201501469111251
AUS,LOGREG,5,0.8524,0.8083333333333333,0.5277777777777778,1.0,0.6154649947753397,0.7369836365716901,0.8433077032607148,0.7906976744186046,0.4962452456031989,0.9999817682932388,0.5823113162562704,0.718938218203563
AUS,LOGREG,6,0.8536,0.7836065573770492,0.5121495327102804,1.0,0.6065301604869949,0.7320289648284226,0.8431154777160758,0.8219362745098039,0.4850520985490311,0.9999817606449436,0.5793207722726216,0.7159057105696922
AUS,LOGREG,7,0.8478,0.7986348122866894,0.4986376021798365,1.0,0.5906401291016675,0.7225170570529856,0.8433433005837961,0.8045309653916212,0.4915843514426826,0.9999908828999672,0.5789675098541962,0.7168134732670179
AUS,LOGREG,avg,0.8521428571428572,0.8118579256217162,0.5148464614767418,1.0,0.6045694638949568,0.7310845093379473,0.8432192184861984,0.8071558976746055,0.4911101890103234,0.9999882772062116,0.5791617167364222,0.7168404333978168
AUS,PERC,1,0.8136,0.5760743321718932,0.0,1.0,0.5155925155925156,0.5,0.8080663534102236,0.5818784248757487,0.0,1.0,0.5040198693772422,0.5
AUS,PERC,2,0.8252,0.7047101449275363,1.0,0.9582051282051282,0.41776710684273705,0.6086480186480187,0.8195002135839385,0.6687196715192236,1.0,0.9514509996991328,0.4161901204057588,0.6083849022728036
AUS,PERC,3,0.7848,0.0,0.0,1.0,0.0,0.5,0.7807133703545494,0.0,0.0,1.0,0.0,0.5
AUS,PERC,4,0.7742,0.0,0.0,1.0,0.0,0.5630721640945285,0.7810907019792112,0.0,0.0,1.0,0.0,0.5563081805211819
AUS,PERC,5,0.2232,0.0,0.7482078853046595,0.0,0.5529801324503311,0.7594325954471797,0.21900185106080025,0.0,0.7503657228308572,0.0,0.5447979607250755,0.7593856462347577
AUS,PERC,6,0.7859999999999999,0.214,0.8850467289719626,1.0,0.3525535420098847,0.7586811253002308,0.7806706535668517,0.21932934643314825,0.8701918395169929,1.0,0.35975406820928724,0.7508465148174552
AUS,PERC,7,0.2202,0.2202,0.0,0.0,0.5070931132318802,0.7164816009321657,0.21910864303004413,0.21910864303004413,0.0,0.0,0.5137311660357753,0.724961740410837
AUS,PERC,avg,0.6324571428571428,0.2449977824427756,0.3761792306109461,0.7083150183150183,0.3351409157324784,0.6294736434888747,0.629735969569374,0.2412908694083093,0.3743653660496929,0.7073501428141619,0.3340704549647341,0.6285552834652908
AUS,KNN,1,0.8484,0.8627450980392157,1.0,0.9982219964439928,1.0,1.0,0.8155204328634487,0.8821576763485477,0.4100733432855196,0.9987778851941704,0.4417872876022656,0.6423166453764118
AUS,KNN,2,0.8346,0.9387755102040816,1.0,0.9992307692307691,1.0,1.0,0.8171792681190374,0.8916666666666667,0.4304188192481399,0.9985777194278056,0.45701373076657703,0.6516261743004556
AUS,KNN,3,0.8462,0.8695652173913043,1.0,0.9989806320081548,1.0,1.0,0.8156770610850064,0.8764906303236797,0.4192071685984221,0.9988783410390392,0.4481077235419667,0.6461523399872986
AUS,KNN,4,0.8476,0.8725490196078431,1.0,0.9966416946525446,1.0,1.0,0.8191584792823579,0.8405740884406516,0.4265318069467933,0.9962538282047544,0.4514785362663086,0.6483915050484295
AUS,KNN,5,0.8346,0.9108280254777071,1.0,0.9976828012358392,1.0,1.0,0.8182970240637905,0.8709860755896561,0.4249536751080914,0.9978668903089364,0.4523731247728963,0.6488481809573583
AUS,KNN,6,0.8440000000000001,0.9019607843137256,1.0,0.9987277353689568,1.0,1.0,0.816047273245052,0.8576271186440678,0.4071801863212906,0.998467894175262,0.4394849785407725,0.640965267574478
AUS,KNN,7,0.8406,0.8421052631578947,1.0,0.9976917158245704,1.0,1.0,0.8175993165313968,0.8522483940042827,0.42393423446841694,0.9974836803909412,0.4478887744593204,0.646155330647286
AUS,KNN,avg,0.8422857142857143,0.8855041311702532,1.0,0.9981681921092612,1.0,1.0,0.8170684078842986,0.8673929500025075,0.4203284619966677,0.9980437483915584,0.4483048794214439,0.6463507776988168
AUS,RF,1,1.0,0.9642857142857144,0.9858889934148636,0.9926339852679704,1.0,1.0,0.8425459205467749,0.7688057264849931,0.4079314597260985,0.966400963099429,0.5310305319216652,0.6868357894989402
AUS,RF,2,0.9974,1.0,1.0,1.0,0.9940557841792408,0.9954545454545456,0.8443827424177702,0.7393258426966293,0.4490691100497125,0.9551069901443249,0.5582269274284791,0.7017675960837284
AUS,RF,3,0.9978,0.970505617977528,1.0,0.9941386340468911,1.0,1.0,0.8442261141962124,0.7573611192413511,0.4315119638972761,0.9627025597534176,0.5467110844420535,0.6948715247146529
AUS,RF,4,0.9664,0.9746070133010882,0.9805137289636848,0.9945750452079566,0.9924141008478358,0.992471213463242,0.8434714509468888,0.7502169762194063,0.4307597242097047,0.9600772932769432,0.5448678168052625,0.6955326396483809
AUS,RF,5,0.9976,0.9556962025316456,0.9910394265232976,0.9904737384140062,0.9945945945945946,0.9964157706093192,0.8446461626085718,0.7442977853868671,0.4469620623516791,0.9588601536932879,0.5563860903477413,0.7024597378507035
AUS,RF,6,0.9964,0.9977777777777778,0.9841121495327104,0.9938931297709924,0.9919924634950542,0.9906542056074766,0.8429018937775881,0.7547675978305243,0.4204563897815432,0.9624269285838052,0.538000459472442,0.690187309659757
AUS,RF,7,1.0,0.9696132596685084,0.9809264305177112,0.9938445755321876,0.9903713892709768,0.9895549500454132,0.8434785704115051,0.7582932763634206,0.42568884845334026,0.9627657634659568,0.5445915977533213,0.6935659441291027
AUS,RF,avg,0.9936571428571428,0.9760693693631802,0.9889258184217524,0.994222729748572,0.9947754760553862,0.9949358121685709,0.8436646935579015,0.7532954748890273,0.4303399369241934,0.9611915217167378,0.5456877868815665,0.6950315059407522
AUS,SVM,1,0.8576,0.8087431693989071,0.48447789275635,1.0,0.5889145496535796,0.7196940715612382,0.8450163747686174,0.8424340116864799,0.4581034594664763,1.0,0.5521058370882457,0.697772594900103
AUS,SVM,2,0.8590000000000001,0.942528735632184,0.7,1.0,0.6193827828911749,0.7375641025641027,0.8425103232236936,0.8792857142857143,0.4725281866328752,1.0,0.5744320504584477,0.7130789201458969
AUS,SVM,3,0.8534,0.861271676300578,0.4711895910780669,1.0,0.5728813559322035,0.7117670687296552,0.8433433005837961,0.8605876393110435,0.4675497548780884,1.0,0.5613987213472633,0.7059522637000898
AUS,SVM,4,0.8562,0.8951612903225806,0.7192205491585474,1.0,0.8111888111888113,0.8517311735717822,0.8434287341591912,0.8699902248289345,0.4787628463639911,1.0,0.5614844763139827,0.7076301106546512
AUS,SVM,5,0.8552,0.8866666666666667,0.5116487455197133,1.0,0.6023206751054853,0.7289191204426578,0.8448668660116759,0.8546712802768166,0.4808361236630799,1.0,0.5695308138079744,0.7112974682071678
AUS,SVM,6,0.856,0.9466666666666668,0.4906542056074766,1.0,0.5905511811023623,0.7220446600556466,0.8451801224547913,0.9027181688125894,0.4606096017138962,1.0,0.5577501326572725,0.7034655898914479
AUS,SVM,7,0.8472,0.8544600938967136,0.5068119891008175,1.0,0.5889182058047493,0.7231418242503319,0.8447244767193507,0.8440990039239359,0.4939563296074864,1.0,0.5741478613917478,0.7151731613392452
AUS,SVM,avg,0.8549428571428571,0.8850711855548995,0.554857567602996,1.0,0.624879651668338,0.7421231458822021,0.8441528854173023,0.8648265775893591,0.4731923289036991,1.0,0.5644071275807048,0.7077671584055146
