dataset,model,trial,train_accuracy,train_precision,train_recall,train_specificity,train_f1,train_roc_auc,test_accuracy,test_precision,test_recall,test_specificity,test_f1,test_roc_auc
cardio,forest,1,0.8138,0.8224802986312734,0.8164251207729468,0.8298887122416534,0.8259719112558519,0.8171080287448574,0.7295692307692307,0.7379145408163266,0.7114325280812432,0.7463467158898631,0.7233876017532874,0.7295665829483214
cardio,forest,2,0.834,0.8470254957507082,0.8489010989010989,0.8340130505709625,0.8570861452957523,0.8356350885190317,0.7274923076923077,0.7335678519363631,0.7127439795257624,0.7442660198348122,0.721141698510489,0.7272791896579617
cardio,forest,3,0.82,0.8452481076534903,0.9634002361275088,0.8507523383489223,0.8167411621292158,0.8200895312803331,0.728276923076923,0.7354305687956785,0.7110487699611566,0.7423376942448252,0.7237842064112588,0.7286156409926854
cardio,forest,4,0.844,0.8622258998758792,0.992466296590008,0.8652138821630347,0.8437879401052205,0.844574523851127,0.7249692307692308,0.729243586102433,0.7158702283020612,0.7363181022032388,0.7210164107993647,0.7249848018905549
cardio,forest,5,0.8126,0.81957928802589,0.823716673298846,0.8210695617209489,0.8111691442346323,0.8126354936637488,0.7286461538461538,0.7311687096472349,0.7232489373498429,0.7359685252351387,0.7263754170869868,0.7287469987517449
cardio,forest,6,0.8274,0.8446180555555556,0.7731538147694819,0.8595527657905061,0.8174536256323778,0.8271495177587422,0.7292461538461539,0.7483707939885623,0.692326610919823,0.7660137965016014,0.7187519959123715,0.7296622996972715
cardio,forest,7,0.8232,0.8370833333333333,0.9212629896083133,0.8422738190552442,0.8189040537787737,0.8236139671129391,0.7297692307692307,0.7442242058283014,0.6997875419527666,0.76118439258371,0.7202858277094085,0.7295633036108758
cardio,forest,avg,0.825,0.8397514969751614,0.8770466042954576,0.843252018555896,0.8273019974902606,0.8258294501329685,0.7282813186813186,0.7371314653021285,0.7094940851560938,0.747490749499027,0.722106165454738,0.7283455453642022
cardio,svm,1,0.7372,0.8057553956834532,0.8144122383252818,1.0,0.7194705380017079,0.7368257003806876,0.7276,0.8083867210250437,0.800369287582705,1.0,0.7107713417622268,0.7275910657418004
cardio,svm,2,0.7332,0.7485667485667485,1.0,0.7606035889070146,0.7326653306613227,0.7335088006842844,0.7264153846153846,0.7334268230494646,0.9997841571336067,0.7579293192913507,0.7213001708276522,0.7263796921123922
cardio,svm,3,0.737,0.7857142857142857,1.0,0.824318828792192,0.7266680523799626,0.7378183636270812,0.7272615384615385,0.7730724626837754,0.9996300635057649,0.8137092316196793,0.7166059210946991,0.7271924556949583
cardio,svm,4,0.735,0.7777262180974478,1.0,0.8022598870056498,0.7415966386554622,0.7356254468346027,0.7271538461538462,0.7520545130804,0.9999691900052377,0.7867436929600836,0.7107929304228323,0.7270871534997839
cardio,svm,5,0.7344,0.7702188392007612,1.0,0.8057901085645356,0.725506407606449,0.7345883432688021,0.7255230769230769,0.7659860485394565,1.0,0.8020224995389439,0.7158216657906054,0.7254881568419496
cardio,svm,6,0.7284,0.7763713080168776,0.8212974296205631,1.0,0.704654197477164,0.7271034840744419,0.7278615384615384,0.7843588045045397,0.8134837678307919,1.0,0.709143824917375,0.7279175220708519
cardio,svm,7,0.7386,0.9036144578313253,1.0,0.9967974379503602,0.7246682115020012,0.7386409527302097,0.7280461538461539,0.8315450643776824,1.0,0.9951726470497801,0.7124335052301085,0.7280080962047649
cardio,svm,avg,0.7348285714285714,0.795423893301557,0.9479585239922635,0.884252835888536,0.7250327680405814,0.7348730130857299,0.7271230769230768,0.7784043481800518,0.9447480665797293,0.8793681986371196,0.7138384800065,0.7270948774523573
